No,Name,Formula,Atoms,Description,FunFact,FormationReason
1,"น้ำบริสุทธิ์ (Water)","H₂O","H:2|O:1","ภารกิจแรกคือปรุงน้ำใสแจ๋วที่มีอยู่ทั่วร่างกายเรา! ใช้ไฮโดรเจน 2 ตัว และออกซิเจน 1 ตัวนะจ๊ะ","น้ำเกิดจากก๊าซเบาอย่างไฮโดรเจนและออกซิเจน แต่เมื่อรวมร่างกันจะกลายเป็นน้ำต้านไฟ","ออกซิเจนต้องการอิเล็กตรอนเพิ่ม 2 ตัวจึงเกิดพันธะโคเวเลนต์เดี่ยวร่วมกับไฮโดรเจน 2 อะตอม"
2,"ก๊าซออกซิเจนหายใจ","O₂","O:2","สูดลมหายใจเข้าลึกๆ แก๊สนี้คอยเกื้อหนุนชีวิตให้เราและช่วยทำให้กองฟืนลุกไหม้","ออกซิเจนเป็นสารแก๊สที่ไม่ติดไฟด้วยตัวเอง แต่เป็นพันธมิตรที่จำเป็นเพื่อให้ไฟลุกไหม้ได้","อะตอมออกซิเจนทั้งสองตัวต่างแชร์อิเล็กตรอนร่วมกันคนละ 2 คู่ เกิดเป็นพันธะคู่ที่เสถียร"
3,"คาร์บอนไดออกไซด์","CO₂","C:1|O:2","แก๊สหายใจออกของพวกเรา แต่พืชใบเขียวกลับรักมาก เพราะพืชใช้สังเคราะห์แสงสร้างอาหาร","เมื่อนำคาร์บอนไดออกไซด์มารวมตัวอัดฟองซ่าลงในเครื่องดื่ม ก็จะได้น้ำโซดาซ่าส์ตาสว่าง","คาร์บอนแชร์อิเล็กตรอนกับออกซิเจน 2 อะตอม อะตอมละ 2 คู่ เกิดพันธะคู่แบบเส้นตรงไม่มีขั้ว"
4,"แก๊สไนโตรเจนเฉื่อยชา","N₂","N:2","แก๊สลึกลับลอยปะปนอยู่ในอากาศรอบตัวเรามากที่สุดถึง 78 เปอร์เซ็นต์","ยอดนิยมนำมาอัดในถุงขนมขบเคี้ยวเพื่อกันเน่าเสียและรักษาความกรอบแสนอร่อย","ไนโตรเจนจับคู่แชร์อิเล็กตรอนกันถึง 3 คู่เกิดเป็นพันธะสาม แข็งแกร่งสลายยากและเฉื่อยชามาก"
5,"แก๊สโอโซนปกป้องโลก","O₃","O:3","ก๊าซกลิ่นฉุนอ่อนๆ ทำหน้าที่เป็นเกราะเวทมนตร์กรองรังสี UV จากแสงแดดไม่ให้ทำร้ายผิวเรา","แม้อยู่ชั้นบรรยากาศสูงจะมีประโยชน์มาก แต่ถ้าลอยต่ำลงมาใกล้พื้นจะกลายเป็นมลพิษแสบจมูก","ออกซิเจน 3 อะตอมสร้างพันธะโคเวเลนต์แบบเรโซแนนซ์ ทำให้พลังงานเกาะเกี่ยวสูงและไม่เสถียร"
6,"กรดเกลือสลายเนื้อ","HCl","H:1|Cl:1","กรดแก่พลังกัดกร่อนสูงที่มีอยู่ในกระเพาะอาหารเพื่อช่วยย่อยสารอาหารชิ้นใหญ่","แม้จะกัดผิวภายนอกรุนแรง แต่เยื่อเมือกในท้องช่วยป้องกันไม่ให้ท้องเราโดนกรดเกลือทำร้าย","ไฮโดรเจนแชร์อิเล็กตรอนร่วมกับคลอรีน เกิดขั้วที่คลอรีนดึงประจุลบสูง ละลายน้ำจึงแตกตัวง่าย"
7,"โซดาไฟขจัดท่อตัน","NaOH","Na:1|O:1|H:1","เบสเข้มข้นที่นำมาใช้ละลายเศษไขมันและสิ่งปฏิกูลที่อุดตันอยู่ในท่อน้ำยาวิเศษ","หากนำโซดาไฟไปผสมกับน้ำมันมะพร้าวและต้มให้ร้อน จะได้สบู่ก้อนถูตัวฟองนุ่มอย่างไม่น่าเชื่อ","โซเดียมบวกจับกับไฮดรอกไซด์ลบด้วยพันธะไอออนิก ละลายน้ำปลดปล่อยประจุลบทำลายคราบมัน"
8,"แอมโมเนียดมฟื้นไข้","NH₃","N:1|H:3","แก๊สกลิ่นฉุนสะดุดจมูกใช้ดมเรียกสติคนเป็นลมให้ลืมตาพึ่บพั่บตาสว่างขึ้นมาทันที","แอมโมเนียเป็นสารตั้งต้นหลักในการผลิตปุ๋ยเคมีบำรุงพืชผักทั่วโลกให้เติบโตงดงาม","ไนโตรเจนดึงไฮโดรเจน 3 ตัวมาสร้างพันธะเดี่ยว เหลือคู่อิสระ 1 คู่เกิดขั้วเป็นด่างระเหยง่าย"
9,"น้ำปูนใสแช่กรอบ","Ca(OH)₂","Ca:1|O:2|H:2","น้ำปูนใสที่ผู้ปรุงยาใช้แช่ผลไม้เชื่อมเพื่อดึงแป้งเนื้อในให้กรอบเด้งตึงหนึบน่าเคี้ยว","เมื่อเราเป่าลมหายใจลงในน้ำปูนใส แก๊สจะทำปฏิกิริยาจนได้ผลึกแป้งสีขาวขุ่นละอองเต็มขวด","แคลเซียมไอออนบวกสองจับกับไฮดรอกไซด์สองก้อน แตกตัวในน้ำให้สภาพเป็นเบสอ่อนจับเนื้อผิว"
10,"กรดกำมะถันแบตเตอรี่รถ","H₂SO₄","H:2|S:1|O:4","กรดกำมะถันความแรงสูงปรี๊ดบรรจุในหม้อแบตเตอรี่เพื่อเป็นสะพานไฟส่งพลังสตาร์ทรถ","กรดนี้หิวน้ำมาก สามารถดึงโมเลกุลน้ำจากกระดาษหรือไม้จนทำให้โครงสร้างกระดาษไหม้ดำเกรียม","กำมะถันอะตอมกลางแชร์ร่วมกับออกซิเจน 4 ตัวล้อมด้วยไฮโดรเจน ยึดพันธะหนาแน่นคายโปรตอนเร็ว"
